date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-05-15,81.94,82.47,81.8696,82.18,866315,866315,-0.93,-1.119,82.1172,"May 15, 13",0.009086444007858657
2013-05-16,81.46,82.07,80.71,80.75,1243721,1243721,-1.43,-1.74,81.3781,"May 16, 13",-0.008472495088408617
2013-05-17,80.19,81.07,80.08,80.89,1876251,1876251,0.14,0.173,80.5934,"May 17, 13",-0.006753438113948885
2013-05-20,80.03,80.77,79.65,80.41,1712148,1712148,-0.48,-0.593,80.1232,"May 20, 13",-0.01264734774066799
2013-05-21,79.48,80.12,79.2,79.57,1058822,1058822,-0.84,-1.045,79.6649,"May 21, 13",-0.022961689587426382
2013-05-22,79.83,80.71,78.47,78.71,813520,813520,-0.86,-1.081,79.3325,"May 22, 13",-0.033521611001964685
2013-05-23,78.05,78.61,77.84,78.2,669430,669430,-0.51,-0.648,78.2045,"May 23, 13",-0.03978388998035357
2013-05-24,77.1,77.2,75.63,75.87,2917236,2917236,-2.33,-2.98,76.3693,"May 24, 13",-0.06839390962671897
2013-05-28,77.92,78.08,76.57,77.01,1251388,1251388,1.14,1.503,77.3796,"May 28, 13",-0.05439587426326121
2013-05-29,76.2,76.46,75.71,75.99,922727,922727,-1.02,-1.325,76.1414,"May 29, 13",-0.06692043222003934
2013-05-30,76.14,76.79,76.12,76.28,1664598,1664598,0.29,0.382,76.4653,"May 30, 13",-0.06335952848722982
2013-05-31,74.44,74.94,73.44,73.44,1312017,1312017,-2.84,-3.723,74.0117,"May 31, 13",-0.09823182711198429
2013-06-03,75.01,75.01,74.23,74.86,1868891,1868891,1.42,1.934,74.676,"Jun 3, 13",-0.08079567779960706
2013-06-04,75.31,75.5,74.51,74.82,1743500,1743500,-0.04,-0.053,75.1641,"Jun 4, 13",-0.08128683693516706
2013-06-05,74.6,75.29,74.46,74.67,2859952,2859952,-0.15,-0.2,74.8458,"Jun 5, 13",-0.08312868369351666
2013-06-06,75.84,76.08,74.96,75.74,1526631,1526631,1.07,1.433,75.6839,"Jun 6, 13",-0.06999017681728883
2013-06-07,75.81,76.76,75.55,76.34,1488143,1488143,0.6,0.792,76.0754,"Jun 7, 13",-0.06262278978388991
2013-06-10,77.26,77.68,76.7,77.55,823178,823178,1.21,1.585,77.3086,"Jun 10, 13",-0.047765225933202364
2013-06-11,76.32,76.73,75.93,76.02,662192,662192,-1.53,-1.973,76.1962,"Jun 11, 13",-0.06655206286836937
2013-06-12,77.04,77.06,75.99,76.1,915966,915966,0.08,0.105,76.4837,"Jun 12, 13",-0.06556974459724955
2013-06-13,75.81,76.86,75.75,76.76,1119390,1119390,0.66,0.867,76.1183,"Jun 13, 13",-0.057465618860510714
2013-06-14,76.35,76.75,75.82,75.89,750035,750035,-0.87,-1.133,76.2129,"Jun 14, 13",-0.06814833005893907
2013-06-17,77.52,77.77,76.86,77.3,973524,973524,1.41,1.858,77.3666,"Jun 17, 13",-0.05083497053045188
2013-06-18,77.04,77.45,76.84,77.18,1046324,1046324,-0.12,-0.155,77.183,"Jun 18, 13",-0.05230844793713152
2013-06-19,77.09,77.59,76.19,76.36,1372165,1372165,-0.82,-1.062,76.9986,"Jun 19, 13",-0.06237721021611
2013-06-20,75.34,75.43,74.08,74.56,1629130,1629130,-1.8,-2.357,74.7333,"Jun 20, 13",-0.08447937131630642
2013-06-21,72.99,73.1,71.91,72.75,3078970,3078970,-1.81,-2.428,72.532,"Jun 21, 13",-0.1067043222003929
2013-06-24,71.19,71.95,71.07,71.45,2542385,2542385,-1.3,-1.787,71.4253,"Jun 24, 13",-0.12266699410609032
2013-06-25,72.24,72.75,71.21,72.73,2211297,2211297,1.28,1.791,72.1304,"Jun 25, 13",-0.10694990176817282
2013-06-26,74.43,75.11,74.38,74.68,1591306,1591306,1.95,2.681,74.6695,"Jun 26, 13",-0.08300589390962661
2013-06-27,75.55,75.77,75.09,75.6,1591159,1591159,0.92,1.232,75.52,"Jun 27, 13",-0.07170923379174857
2013-06-28,73.36,73.4,72.42,72.83,2327039,2327039,-2.77,-3.664,72.9239,"Jun 28, 13",-0.10572200392927308
2013-07-01,72.71,72.85,71.05,71.12,2781929,2781929,-1.71,-2.348,71.8282,"Jul 1, 13",-0.12671905697445965
2013-07-02,71.92,72.62,71.63,71.96,3347976,3347976,0.84,1.181,72.1498,"Jul 2, 13",-0.11640471512770142
2013-07-03,71.06,71.23,70.68,70.82,1210070,1210070,-1.14,-1.584,70.9656,"Jul 3, 13",-0.1304027504911592
2013-07-05,70.42,70.77,69.96,70.77,1513918,1513918,-0.05,-0.071,70.4719,"Jul 5, 13",-0.13101669941060906
2013-07-08,71.56,71.89,71.41,71.69,1410937,1410937,0.92,1.3,71.6613,"Jul 8, 13",-0.11972003929273085
2013-07-09,72.22,72.27,71.76,71.87,1066754,1066754,0.18,0.251,72.0328,"Jul 9, 13",-0.11750982318271112
2013-07-10,71.85,72.115,71.55,71.77,1710970,1710970,-0.1,-0.139,71.7896,"Jul 10, 13",-0.11873772102161102
2013-07-11,73.73,74.67,73.36,74.56,1166354,1166354,2.79,3.887,74.0033,"Jul 11, 13",-0.08447937131630642
2013-07-12,74.87,75.22,74.3,75.16,1098930,1098930,0.6,0.805,74.8667,"Jul 12, 13",-0.07711198428290768
2013-07-15,75.58,75.64,74.81,75.07,1364555,1364555,-0.09,-0.12,75.2049,"Jul 15, 13",-0.07821709233791754
2013-07-16,75.51,75.7,75.17,75.7,1156602,1156602,0.63,0.839,75.4758,"Jul 16, 13",-0.07048133595284867
2013-07-17,76.1,76.4,75.5,76,1564856,1564856,0.3,0.396,75.9503,"Jul 17, 13",-0.06679764243614929
2013-07-18,75.48,75.53,73.17,73.9,4739062,4739062,-2.1,-2.763,74.2728,"Jul 18, 13",-0.0925834970530451
2013-07-19,72.87,73.47,72.71,72.81,3264013,3264013,-1.09,-1.475,73.0564,"Jul 19, 13",-0.10596758349705299
2013-07-22,72.53,72.84,72.17,72.39,3226400,3226400,-0.42,-0.577,72.4801,"Jul 22, 13",-0.11112475442043218
2013-07-23,72.89,72.92,72.41,72.53,1538718,1538718,0.14,0.193,72.6408,"Jul 23, 13",-0.10940569744597245
2013-07-24,73.68,73.68,73.09,73.16,1757328,1757328,0.63,0.869,73.3949,"Jul 24, 13",-0.10166994106090375
2013-07-25,73.28,74.03,73.11,73.96,2212648,2212648,0.8,1.093,73.2701,"Jul 25, 13",-0.09184675834970536
2013-07-26,73.26,73.73,72.87,73.69,904182,904182,-0.27,-0.365,73.2743,"Jul 26, 13",-0.09516208251473478
2013-07-29,73.07,73.23,72.83,73.02,678367,678367,-0.67,-0.909,73.0059,"Jul 29, 13",-0.10338899803536349
2013-07-30,74.115,74.115,73.08,73.25,743382,743382,0.23,0.315,73.5122,"Jul 30, 13",-0.10056483300589389
2013-07-31,73.5,73.58,72.77,72.89,1347404,1347404,-0.36,-0.491,73.126,"Jul 31, 13",-0.10498526522593317
2013-08-01,73.93,74.18,73.51,74.08,921902,921902,1.19,1.633,65.4856,"Aug 1, 13",-0.09037328094302553
2013-08-02,74.36,75.13,74.22,74.82,820999,820999,0.74,0.999,74.6993,"Aug 2, 13",-0.08128683693516706
2013-08-05,74.87,75.17,74.765,75.09,754280,754280,0.27,0.361,75.0092,"Aug 5, 13",-0.07797151277013746
2013-08-06,76.53,76.56,75.63,75.84,1242650,1242650,0.75,0.999,75.9228,"Aug 6, 13",-0.06876227897838894
2013-08-07,75.09,75.59,75.04,75.5,1168471,1168471,-0.34,-0.448,75.3475,"Aug 7, 13",-0.0729371316306483
2013-08-08,75.13,75.34,74.84,75.23,875956,875956,-0.27,-0.358,75.1261,"Aug 8, 13",-0.07625245579567773
2013-08-09,74.95,75.25,74.61,74.77,668210,668210,-0.46,-0.611,74.9836,"Aug 9, 13",-0.08190078585461692
2013-08-12,73.99,74.38,73.99,74.33,736634,736634,-0.44,-0.588,74.1725,"Aug 12, 13",-0.08730353634577602
2013-08-13,74.53,75.125,74.25,75,415679,415679,0.67,0.901,74.7323,"Aug 13, 13",-0.07907662082514733
2013-08-14,76.01,76.58,75.79,76.22,892695,892695,1.22,1.627,76.1822,"Aug 14, 13",-0.06409626719056974
2013-08-15,75.55,75.915,74.95,75.79,1504928,1504928,-0.43,-0.564,75.5495,"Aug 15, 13",-0.0693762278978388
2013-08-16,75.83,76.08,75.41,75.68,1254790,1254790,-0.11,-0.145,75.667,"Aug 16, 13",-0.07072691552062857
